id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
1,/workspace/dmeyer/data/world_leaders,46968181,4265864,5980,1127236344,175.14,10789,27362422,274.752,588.897,1,4,16,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,4300740,5345,1127236344,116.643,10191,31971978,179.737,602.524,1,4,16,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,4300740,5166,1127236344,116.012,10021,31971978,180.159,603.764,1,4,16,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,7322227,5119,1127236344,147.068,11404,40304159,242.55,590.701,1,4,16,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,7330687,5119,1127236344,105.303,11129,43927173,166.551,606.398,1,4,16,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,3810689,38541,6369024,223.119,106483,40129664,355.159,661.44,1,4,16,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,4265864,39593,1127236344,166.076,44400,27362422,271.868,587.467,1,4,16,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,7322227,28140,1127236344,140.586,34394,40304159,234.047,591.759,1,4,16,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,2344041,5109,1127236344,153.828,14695,41738249,245.931,690.268,1,4,8,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,2310028,6092,1127236344,214.537,15848,37429004,342.366,681.944,1,4,8,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,2342033,5453,1127236344,154.81,15123,42044369,246.302,696.675,1,4,8,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,2342033,5312,1127236344,153.123,14986,42044369,245.457,693.719,1,4,8,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,3888640,5177,1127236344,184.853,19292,57944030,315.72,681.543,1,4,8,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,3897100,5173,1127236344,142.04,18631,61567044,237.363,708.471,1,4,8,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,2743409,38777,8289360,231.007,131904,46618984,357.079,683.231,1,4,8,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,2310028,41310,1127236344,203.681,51076,37429004,343.956,665.752,1,4,8,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,3888640,29847,1127236344,178.715,43931,57944030,308.444,688.498,1,4,8,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,2344041,5063,1127236344,154.063,14643,41738249,246.334,681.414,1,4,4,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,2310028,6023,1127236344,214.283,15772,37429004,344.801,666.915,1,4,4,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,2342033,5472,1127236344,154.692,15160,42044369,244.989,683.56,1,4,4,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,2342033,5333,1127236344,152.378,15002,42044369,246.004,680.924,1,4,4,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,3888640,5243,1127236344,183.362,19369,57944030,318.361,676.93,1,4,4,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,3897100,5124,1127236344,141.48,18595,61567044,236.391,692.721,1,4,4,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,2162650,39662,10351176,262.809,162371,53737084,399.684,769.394,1,4,4,25036204561170
