id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
4,/workspace/dmeyer/data/world_leaders,46968181,4300740,5354,1127236344,90.7544,9139,31971978,140.441,471.89,1,4,16,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,4300740,5149,1127236344,90.4747,8934,31971978,139.952,472.256,1,4,16,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,7322227,5134,1127236344,114.047,10071,40304159,190.552,470.907,1,4,16,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,7330687,5127,1127236344,81.9169,9830,43927173,130.355,486.279,1,4,16,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,3810689,30059,6369024,172.708,91461,40129664,275.474,522.466,1,4,16,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,4265864,30820,1127236344,129.61,34596,27362422,212.509,461.835,1,4,16,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,7322227,21947,1127236344,109.843,26844,40304159,183.044,470.493,1,4,16,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,2344041,5099,1127236344,120.248,12598,41738249,192.54,553.607,1,4,8,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,2310028,5981,1127236344,167.229,13636,37429004,269.362,541.835,1,4,8,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,2342033,5628,1127236344,120.659,13205,42044369,191.757,558.877,1,4,8,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,2342033,5486,1127236344,119.121,13063,42044369,191.953,557.272,1,4,8,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,3888640,5192,1127236344,143.873,16264,57944030,248.589,547.726,1,4,8,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,3897100,5176,1127236344,111.097,15728,61567044,185.257,575.105,1,4,8,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,2743409,30352,8289360,178.421,114939,46618984,279.261,555.328,1,4,8,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,2310028,32384,1127236344,158.883,40023,37429004,269.716,536.353,1,4,8,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,3888640,23438,1127236344,139.467,34439,57944030,240.011,551.989,1,4,8,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,2344041,5153,1127236344,120.782,12643,41738249,192.363,553.776,1,4,4,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,2310028,6010,1127236344,167.71,13646,37429004,269.042,533.761,1,4,4,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,2342033,5444,1127236344,121.649,13008,42044369,191.893,553.647,1,4,4,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,2342033,5286,1127236344,119.495,12839,42044369,191.942,551.54,1,4,4,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,3888640,5196,1127236344,146.452,16254,57944030,251.814,546.602,1,4,4,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,3897100,5311,1127236344,110.527,15862,61567044,187.084,565.035,1,4,4,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,2162650,31118,10351176,202.468,142810,53737084,309.209,607.427,1,4,4,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,2310028,32340,1127236344,159.87,39958,37429004,266.385,535.203,1,4,4,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,3888640,23476,1127236344,140.499,34486,57944030,244.045,558.228,1,4,4,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,2736124,5197,1127236344,128.317,11359,40462558,194.852,609.574,1,2,16,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,2584450,6544,1127236344,237.648,11970,30619878,368.159,678.556,1,2,16,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,2709236,5384,1127236344,129.52,11660,40831958,194.965,618.607,1,2,16,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,2709236,5208,1127236344,127.66,11485,40831958,194.842,618.78,1,2,16,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,4690307,5106,1127236344,199.667,12784,48957149,340.683,679.255,1,2,16,25036095558817
